 200.000000	1.13577074	1.04512956	1.04097416
 200.068042	1.13656949	1.04592621	1.04177071
 200.136108	1.13736810	1.04672273	1.04256713
 200.204196	1.13816657	1.04751911	1.04336342
 200.272308	1.13896490	1.04831536	1.04415957
 200.340443	1.13976308	1.04911148	1.04495559
 200.408601	1.14056112	1.04990746	1.04575148
 200.476783	1.14135902	1.05070331	1.04654723
 200.544987	1.14215678	1.05149902	1.04734285
 200.613215	1.14295440	1.05229460	1.04813833
 200.681466	1.14375187	1.05309005	1.04893368
 200.749740	1.14454920	1.05388536	1.04972889
 200.818037	1.14534638	1.05468053	1.05052397
 200.886358	1.14614343	1.05547557	1.05131892
 200.954702	1.14694032	1.05627047	1.05211373
 201.023069	1.14773708	1.05706524	1.05290840
 201.091459	1.14853369	1.05785987	1.05370294
 201.159873	1.14933015	1.05865437	1.05449735
 201.228310	1.15012647	1.05944873	1.05529161
 201.296770	1.15092265	1.06024295	1.05608575
 201.365254	1.15171868	1.06103704	1.05687974
 201.433761	1.15251457	1.06183099	1.05767360
 201.502291	1.15331031	1.06262481	1.05846732
 201.570844	1.15410590	1.06341848	1.05926091
 201.639421	1.15490135	1.06421202	1.06005436
 201.708021	1.15569665	1.06500542	1.06084767
 201.776644	1.15649181	1.06579869	1.06164084
 201.845291	1.15728682	1.06659181	1.06243388
 201.913961	1.15808168	1.06738480	1.06322678
 201.982655	1.15887640	1.06817765	1.06401954
 202.051371	1.15967097	1.06897036	1.06481216
 202.120112	1.16046539	1.06976293	1.06560465
 202.188875	1.16125967	1.07055537	1.06639699
 202.257662	1.16205380	1.07134766	1.06718920
 202.326473	1.16284778	1.07213982	1.06798127
 202.395307	1.16364161	1.07293183	1.06877320
 202.464164	1.16443529	1.07372371	1.06956499
 202.533044	1.16522883	1.07451545	1.07035664
 202.601948	1.16602221	1.07530704	1.07114815
 202.670876	1.16681545	1.07609850	1.07193953
 202.739827	1.16760854	1.07688982	1.07273076
 202.808801	1.16840148	1.07768099	1.07352185
 202.877799	1.16919427	1.07847203	1.07431280
 202.946821	1.16998691	1.07926292	1.07510361
 203.015866	1.17077940	1.08005368	1.07589429
 203.084934	1.17157174	1.08084429	1.07668482
 203.154026	1.17236393	1.08163476	1.07747520
 203.223141	1.17315597	1.08242509	1.07826545
 203.292280	1.17394786	1.08321528	1.07905556
 203.361442	1.17473960	1.08400532	1.07984552
 203.430628	1.17553119	1.08479523	1.08063535
 203.499838	1.17632262	1.08558499	1.08142503
 203.569071	1.17711391	1.08637461	1.08221457
 203.638327	1.17790504	1.08716408	1.08300396
 203.707608	1.17869602	1.08795342	1.08379322
 203.776911	1.17948685	1.08874261	1.08458233
 203.846238	1.18027753	1.08953165	1.08537130
 203.915589	1.18106805	1.09032056	1.08616012
 203.984964	1.18185842	1.09110932	1.08694881
 204.054362	1.18264864	1.09189793	1.08773734
 204.123784	1.18343871	1.09268641	1.08852574
 204.193229	1.18422862	1.09347473	1.08931399
 204.262698	1.18501838	1.09426292	1.09010210
 204.332190	1.18580799	1.09505096	1.09089006
 204.401706	1.18659744	1.09583885	1.09167788
